Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
SUPREME,EQ,58.95,-5.26,227.82,0.22,0.13
MOINFRA,EQ,60.54,1.88,1.95,0.22,0.13
RAJPUTANA,SM,230.5,0,162.12,0.06,0.13
GULFPETRO,EQ,32.4,-2.06,165.19,0.41,0.13
DHARARAIL,SM,118.4,-1.21,178.59,0.11,0.13
HOACFOODS,ST,352,-0.14,152.78,0.04,0.13
MAHAPEXLTD,EQ,98.8,4.79,139.8,0.14,0.13
SHIVATEX,EQ,176,0.4,228.14,0.07,0.13
RILINFRA,SM,33.2,-4.32,61.77,0.39,0.13
HDFCGROWTH,EQ,125.99,0.77,17.44,0.11,0.13
NV20,EQ,159.5,4.03,90.62,0.09,0.13
STARPAPER,EQ,148.5,-0.5,231.78,0.09,0.13
718GS2033,GS,106,0.08,213060,0.12,0.13
SGBJU29III,GB,15320,-2.16,2266.18,0,0.13
DYNAMIC,SM,134.85,0.82,185.37,0.1,0.13
VINSYS,SM,326.85,5.49,479.75,0.04,0.13
ESSARSHPNG,EQ,26.75,-0.07,553.66,0.48,0.13
96IIFL28,N5,999,0.01,382.44,0.01,0.13
S&SPOWER,EQ,257.9,0.1,318.29,0.05,0.13
CINELINE,EQ,84.5,1.46,289.55,0.15,0.13
AXISBPSETF,EQ,13.13,-0.08,1043.05,0.98,0.13
HEALTHY,EQ,14.57,0.14,52.21,0.88,0.13
CONSUMIETF,EQ,122.03,0.88,55.62,0.1,0.13
UMA,SM,18.3,-5.91,37.1,0.68,0.13
125VCCL31,N0,96500,-1.43,43.42,0,0.13
871REC28,N9,1090.01,-0.21,1276.93,0.01,0.12
MALUPAPER,EQ,33.56,0.12,57.25,0.37,0.12
SHERA,SM,120,-5.47,293.27,0.1,0.12
ELM250,EQ,17.8,9.4,136.59,0.75,0.12
BEACON,ST,89.6,2.69,161.86,0.14,0.12
INFINIUM,SM,220,0,342.83,0.06,0.12
ABAN,BE,21.2,2.76,123.73,0.58,0.12
MID150,EQ,22.5,1.26,6.48,0.55,0.12
TRF,EQ,273,-1.69,300.42,0.04,0.12
SUTLEJTEX,EQ,31.33,1.36,513.28,0.39,0.12
AAATECH,BE,100,-1,128.27,0.12,0.12
DHUNINV,EQ,970.1,-3.18,591.49,0.01,0.12
BLUEPEBBLE,SM,143,0.56,58.34,0.08,0.12
HDFCQUAL,EQ,58.94,-0.29,19.81,0.2,0.12
WELINV,EQ,1305,2.42,476.91,0.01,0.12
ECAPINSURE,EQ,24,-0.66,16.34,0.5,0.12
VETO,EQ,100.8,-1.67,192.68,0.12,0.12
865IRFC29,NA,1165,0.87,801.94,0.01,0.12
VHLTD,BE,135.3,-2.06,914.34,0.09,0.12
ESSENTIA,EQ,1.51,-1.31,161.22,7.72,0.12
VALIANTLAB,EQ,60,-0.53,325.88,0.2,0.12
EXCELLENT,ST,64.7,-3.43,28.92,0.18,0.12
KRITIKA,EQ,6.64,-1.92,176.81,1.75,0.12
BANKBETA,EQ,61.89,0.21,3974.57,0.19,0.11
ADVANIHOTR,EQ,56.06,0.04,518.21,0.2,0.11
935LTF29,N5,1136,-0.79,126,0.01,0.11
HMVL,EQ,73.1,0,538.54,0.16,0.11
ELDEHSG,EQ,910,-3.06,894.8,0.01,0.11
EMAMIREAL,EQ,79.6,9.54,348.92,0.15,0.11
KRITINUT,EQ,75,0.94,375.78,0.15,0.11
AXISTECETF,EQ,391.48,-1.23,183.24,0.03,0.11
INFOLLION,SM,353,0.57,342.3,0.03,0.11
TIGERLOGS,EQ,32.3,-1.94,341.49,0.34,0.11
ONDOOR,SM,119,0.42,67.22,0.09,0.11
SETF10GILT,EQ,258.05,-0.42,3233.21,0.04,0.11
SIL,EQ,15.66,3.85,100.74,0.69,0.11
MONIFTY100,EQ,26.4,0.23,9.93,0.42,0.11
SUNDRMBRAK,EQ,580,-4.46,228.21,0.02,0.11
WOL3D,ST,139,-0.18,89.68,0.08,0.11
751HUDCO28,N5,1035,0.01,1318.84,0.01,0.11
PCCL,SM,230,2.2,568.1,0.05,0.11
RAJSREESUG,EQ,29.85,0.37,98.91,0.37,0.11
DPSCLTD,EQ,9.13,-2.67,889.07,1.21,0.11
JAINIK,SM,130,-0.76,186.52,0.08,0.11
CPEDU,EQ,218.99,-1.32,398.41,0.05,0.11
KUANTUM,EQ,87.9,-0.62,767.05,0.12,0.11
TTL,EQ,9.17,0.11,236.87,1.18,0.11
ELIQUID,EQ,1017.79,0.03,109.28,0.01,0.11
HDFCVALUE,EQ,140,1.17,36.7,0.08,0.11
BASML,EQ,24.93,1.8,199.24,0.43,0.11
CHEMFAB,EQ,404,-0.11,580.7,0.03,0.11
NATHBIOGEN,EQ,153,2.38,290.76,0.07,0.11
NILAINFRA,EQ,8.23,-0.48,324.17,1.29,0.11
ORICONENT,BE,64.85,-0.25,1018.45,0.16,0.11
JISLDVREQS,EQ,22.85,-3.05,44.09,0.46,0.11
KOTYARK,SM,209,-0.31,214.83,0.05,0.11
MMEL,SM,40.8,-5.01,76.73,0.26,0.11
OAL,EQ,286.5,-1.7,964.17,0.04,0.11
GANGESSECU,EQ,123.15,-1.67,123.2,0.08,0.1
UNIENTER,EQ,118.53,0.48,824.33,0.09,0.1
NIPPOBATRY,EQ,362,-1.55,271.5,0.03,0.1
930APMD34,N0,104350,0.32,1043.49,0,0.1
EBANKNIFTY,EQ,60.62,0.87,14.56,0.17,0.1
ARVINDPORT,SM,30.75,0.82,54.73,0.34,0.1
RBS,SM,86,-1.71,196.61,0.12,0.1
AUSOMENT,BE,108.95,0.11,148.43,0.09,0.1
MEGATHERM,SM,216,0.16,406.96,0.05,0.1
PILITA,EQ,8.85,-1.45,207.97,1.14,0.1
PARAGON,SM,44.95,6.77,87.95,0.23,0.1
GROWWMOM50,EQ,10.38,0.29,22.06,0.98,0.1
ORBTEXP,EQ,190,3.37,503.71,0.05,0.1
91D090426,TB,98.97,0.32,8907.3,0.1,0.1
ASTRON,EQ,3.96,-4.12,18.41,2.49,0.1
KAYA,EQ,344.3,-1.13,522.91,0.03,0.1
SDL26BEES,EQ,135.43,-0.49,4985.04,0.07,0.1
EXXARO,BE,7.19,0.84,321.69,1.39,0.1
RSSOFTWARE,EQ,38.79,-0.41,100.2,0.25,0.1
MCL,BE,76.16,-1.99,206.72,0.13,0.1
PVTBANKADD,EQ,29.35,1.91,490.19,0.34,0.1
810IRFC27,N2,1052.89,0.23,3259.16,0.01,0.1
BANKETF,EQ,610.64,0.09,255.14,0.02,0.1
PARIN,SM,649.85,-1.73,722.5,0.01,0.1
ALMONDZ,EQ,14.18,-1.25,246.23,0.68,0.1
SICALLOG,BE,93,3.85,606.82,0.11,0.1
ALANKIT,EQ,9.43,-1.77,255.7,1.01,0.1
SENSEXETF,EQ,85.7,0.29,32.1,0.11,0.1
NBIFIN,EQ,1995,-1.87,589.49,0,0.09
SGBOCT26,GB,15306,-1.88,478.4,0,0.09
KARNIKA,ST,118.75,5,736.22,0.08,0.09
RAJMET,EQ,4.02,0.25,111.14,2.34,0.09
BANARBEADS,EQ,127.47,2.48,84.59,0.07,0.09
CPS,ST,1285,-0.69,292.73,0.01,0.09
MOMENTUM,EQ,31.05,-0.06,43.66,0.3,0.09
KREBSBIO,EQ,57.9,-1.48,124.84,0.16,0.09
MAL,SM,47.6,-4.99,117.51,0.19,0.09
GROWWRLTY,EQ,9.25,1.31,11.02,1,0.09
USK,EQ,21.15,-0.84,117.08,0.43,0.09
ANLON,SM,376.25,-0.28,235.36,0.02,0.09
AERON,SM,102,1.29,173.6,0.09,0.09
SGBFEB29XI,GB,15380,-1.89,1888.53,0,0.09
RKSWAMY,EQ,110.55,-0.24,558.03,0.08,0.09
ELGNZ,SM,81.75,0.31,184.75,0.11,0.09
MKPL,EQ,5.25,-2.78,197.07,1.7,0.09
BLBLIMITED,EQ,14,0,74.01,0.64,0.09
SHYAMCENT,BE,6.02,4.51,127.73,1.5,0.09
BRNL,EQ,20.35,-1.64,170.84,0.43,0.09
DCCL,SM,43,-4.44,61.39,0.2,0.09
SVLL,EQ,605,-1.68,695.37,0.01,0.09
NECCLTD,EQ,14.2,2.16,136.38,0.62,0.09
HITECHGEAR,BE,652.2,-4.5,1225.69,0.01,0.09
RITCO,EQ,236,-1.4,675.5,0.04,0.09
INDBANK,EQ,35.6,-0.78,157.99,0.24,0.09
VSTL,EQ,117.22,-0.48,222.28,0.07,0.09
NAVKARURB,BE,1.34,3.88,150.36,6.63,0.09
VHL,EQ,3334,0.1,1064.06,0,0.09
SBIETFCON,EQ,121.23,0.7,24.41,0.07,0.09
SBGLP,EQ,31.95,1.3,554.07,0.27,0.09
CHEMBONDCH,EQ,149.5,-3.26,402.1,0.06,0.09
SHIGAN,SM,70,-2.78,142.29,0.12,0.09
CEDAAR,SM,40.65,-5.47,56.42,0.21,0.09
PSRAJ,ST,290,-1.18,218.61,0.03,0.09
RACE,EQ,104,0.31,179.47,0.08,0.09
SPCL,SM,93,-4.32,224.28,0.09,0.09
CAPTRUST,EQ,15.37,-0.26,52.29,0.56,0.09
NRVANDANA,ST,57.05,-4.44,132.9,0.15,0.09
OILCOUNTUB,EQ,48.99,0.97,254.7,0.18,0.09
KALYANIFRG,EQ,605,-1.98,220.1,0.01,0.08
SUNTECH,SM,38.3,-5.78,74.16,0.21,0.08
SANGINITA,EQ,10.7,-6.14,27.71,0.78,0.08
AARON,EQ,164.95,0.48,345.51,0.05,0.08
AGUL,SM,70.3,-4.94,38.55,0.12,0.08
EUROBOND,EQ,177,-1.17,433.65,0.05,0.08
CHEVIOT,EQ,1040.7,0.86,607.96,0.01,0.08
NAHARPOLY,EQ,242,-2.93,595.03,0.03,0.08
UNIDT,EQ,188.5,1.01,382.71,0.05,0.08
NIRAJISPAT,EQ,257.41,20,15.44,0.03,0.08
SHEMAROO,EQ,98.99,-5.33,270.44,0.08,0.08
CHEMBOND,EQ,145.9,-1.7,196.21,0.06,0.08
BHANDARI,EQ,4.14,1.72,99.38,2,0.08
TEXMOPIPES,EQ,46.73,2.95,136.43,0.18,0.08
NATCAPSUQ,EQ,159,-2.79,164.42,0.05,0.08
SAJHOTELS,SM,47.2,-0.63,76.11,0.18,0.08
HVAX,SM,810,4.52,224.93,0.01,0.08
ALBERTDAVD,EQ,680,-2.19,388.09,0.01,0.08
SGBSEP27,GB,15192.1,-3.23,953.9,0,0.08
RAPPID,SM,270,-3.57,140.18,0.03,0.08
CROWN,EQ,134.4,0.5,150.84,0.06,0.08
GANDHITUBE,EQ,749.95,1.54,911.34,0.01,0.08
920IIFLS26,N8,1000,1.01,6.2,0.01,0.08
GRCL,SM,418.9,4.99,240.36,0.02,0.08
IVC,EQ,7.73,0.39,242.75,1.03,0.08
ROSSELLIND,EQ,43.51,0.28,164.02,0.18,0.08
SOCL,SM,27.25,-4.89,36.5,0.29,0.08
633GS2035,GS,99.6,0.14,448200,0.08,0.08
SILINV,EQ,450,-1.32,476.81,0.02,0.08
HOLMARC,SM,94.05,-5,94.52,0.08,0.08
SHIVAMAUTO,EQ,22.08,0,290.34,0.36,0.08
SOMATEX,BE,113.01,-0.82,373.31,0.07,0.08
UNITEDPOLY,BE,29.2,1.21,670.19,0.27,0.08
REPL,EQ,99.89,1.51,181.03,0.08,0.08
SLONE,SM,220,2.8,115.92,0.04,0.08
NRAIL,EQ,435.05,-0.33,740.42,0.02,0.08
NITIRAJ,EQ,188.97,0.52,193.71,0.04,0.08
GLOBALVECT,EQ,185.9,1.17,260.26,0.04,0.08
TBI,SM,72.1,0.84,130.92,0.11,0.08
TCL,SM,89.45,-0.06,217.73,0.09,0.08
SPECTRUM,EQ,1256.7,0.75,1974.76,0.01,0.08
BALAJEE,EQ,33.14,-0.54,270.33,0.23,0.08
ENFUSE,SM,212,5.74,187.57,0.04,0.08
EFACTOR,ST,283.35,3.04,370.85,0.03,0.07
KRISHCA,SM,185,-0.3,267.14,0.04,0.07
ALPHAGEO,EQ,226,0.23,143.84,0.03,0.07
NRL,EQ,52.8,-0.19,364.68,0.14,0.07
ITBETA,EQ,371.88,-1.24,5.11,0.02,0.07
RUDRA,EQ,18.85,-0.05,189.15,0.39,0.07
BANKADD,EQ,61.42,0.2,728.32,0.12,0.07
SGBAUG27,GB,15873.7,-0.01,1626.8,0,0.07
364D120226,TB,99.61,0.01,8254.19,0.07,0.07
NAGAFERT,EQ,4.8,-0.41,287.07,1.49,0.07
SATIPOLY,SM,46,4.9,22.76,0.15,0.07
IVP,EQ,142.76,-1.72,147.42,0.05,0.07
94SCL27,ZG,875,2.27,6.21,0.01,0.07
AONETMMQ50,EQ,9.81,1.87,6.44,0.73,0.07
GSS,EQ,15.25,-1.87,39.89,0.45,0.07
ALPA,EQ,71.5,2.7,150.44,0.1,0.07
SGBMAR28X,GB,15349,-2.17,1162.44,0,0.07
SRD,EQ,56.99,-1.21,364.55,0.12,0.07
SAAKSHI,SM,192.05,-1.59,339.08,0.04,0.07
NEPHROCARE,SM,101,2.02,166.51,0.07,0.07
SONAMLTD,EQ,40.03,-1.06,160.25,0.17,0.07
NIFTYBETF,EQ,262.8,0.17,197.38,0.03,0.07
HDIL,BZ,2.61,4.82,123.72,2.61,0.07
797IGT31,NL,1019,-0.49,42,0.01,0.07
DRONE,SM,51.3,-0.68,125.17,0.13,0.07
BLUEWATER,SM,133,-2.56,146.3,0.05,0.07
RANASUG,EQ,11.1,0.73,170.46,0.61,0.07
SABEVENTS,BE,14.22,-2,14.91,0.47,0.07
MHHL,SM,41.5,-1.19,75.68,0.17,0.07
SAMPANN,EQ,32.81,-3.36,133.24,0.2,0.07
ENSER,SM,13.45,-0.37,117.23,0.5,0.07
PRATHAM,SM,135.65,4.51,247.05,0.05,0.07
ATCENERGY,SM,30.4,3.05,61.98,0.22,0.07
DIAMINESQ,EQ,252,0.64,246.56,0.03,0.07
RKDL,EQ,20.36,0.94,48.86,0.31,0.07
MIDQ50ADD,EQ,242,-0.6,101.19,0.03,0.06
EMULTIMQ,EQ,40.79,-0.75,32.81,0.16,0.06
AMANTA,EQ,105,0.56,407.71,0.06,0.06
865IIFL28,NS,986.5,0.46,156.13,0.01,0.06
GROWWCHEM,EQ,28.93,1.19,7.68,0.23,0.06
RAPIDFLEET,SM,177.25,-1.53,131.78,0.04,0.06
INVENTURE,EQ,1.15,0,120.75,5.63,0.06
KOTHARIPRO,EQ,67.25,-1.57,401.4,0.09,0.06
LYKALABS,EQ,70.7,-1.08,252.33,0.09,0.06
MDL,SM,51,-6.93,90.47,0.13,0.06
AKSHARCHEM,EQ,218.7,-1.11,175.68,0.03,0.06
MITTAL,EQ,1.05,2.94,46.61,6.11,0.06
DICIND,EQ,564.85,1.99,518.47,0.01,0.06
AGROPHOS,EQ,35.59,-1.3,72.16,0.18,0.06
TCIFINANCE,BE,15.33,-4.96,19.73,0.41,0.06
RAMANEWS,EQ,30.1,-1.31,444.04,0.21,0.06
SIDDHICOTS,SM,30.95,0.81,75.54,0.2,0.06
BROOKS,EQ,61.45,0.8,181.01,0.1,0.06
930APMD35,N0,104000,-0.48,1039.99,0,0.06
ENIL,EQ,112.38,-1.01,535.72,0.06,0.06
SGBMAY26,GB,15410,-2.89,1002.17,0,0.06
PYRAMID,EQ,155.9,-0.27,573.48,0.04,0.06
RVTH,EQ,614.95,-1.21,188.6,0.01,0.06
MODIRUBBER,EQ,124.05,-0.91,310.63,0.05,0.06
ANYA,SM,20.95,1.95,251.4,0.3,0.06
JMA,EQ,78.4,1.41,179.07,0.08,0.06
K2INFRA,SM,62.85,-1.8,79.31,0.1,0.06
SCLZC26,NB,2183.2,-0.08,53.15,0,0.06
ASHIMASYN,EQ,16.99,0.12,325.63,0.36,0.06
PRLIND,SM,62.2,-1.35,142.21,0.1,0.06
930APMD28,N0,101300,-0.49,1012.99,0,0.06
PNC,EQ,27,-2,39.06,0.22,0.06
CEREBRAINT,BZ,5.45,-3.54,66.05,1.11,0.06
JOCIL,EQ,132.77,1.03,117.92,0.05,0.06
SUPERSPIN,EQ,8.07,1.77,44.38,0.75,0.06
CREST,EQ,368,2.31,1046.95,0.02,0.06
REMUS,SM,657,-0.15,774.21,0.01,0.06
TEAMGTY,EQ,255,-4.06,229.33,0.02,0.06
UNIHEALTH,ST,297,1.63,460.35,0.02,0.06
SURANASOL,EQ,24.68,-0.64,121.44,0.24,0.06
SBIETFPB,EQ,295.37,0.71,455.07,0.02,0.06
IBLFL,SM,46.75,-0.74,115.62,0.12,0.06
667GS2050,GS,92.55,-0.22,140262.41,0.06,0.06
AVIANSH,SM,117.5,1.29,164.23,0.05,0.06
BAIDFIN,EQ,11.42,-0.35,171.4,0.51,0.06
AFSL,EQ,202.5,0.59,1025.84,0.03,0.06
HDFCPVTBAN,EQ,29.38,0.72,754.26,0.2,0.06
DIGJAMLMTD,EQ,49,-4.52,98,0.12,0.06
DGCONTENT,EQ,24.24,-2.14,141.05,0.23,0.06
699GS2051,GS,96.58,0.63,141513.85,0.06,0.06
AARTECH,EQ,46,-0.61,146.14,0.12,0.06
GLOBE,EQ,2.7,-0.37,121.61,2.1,0.06
SGBDC27VII,GB,15349,-3.33,995.08,0,0.06
KATARIA,SM,102.25,-1.06,220.16,0.05,0.06
URBAN,SM,140,-0.71,121.24,0.04,0.06
FROG,SM,138.1,-1.5,214.8,0.04,0.06
893NHB29,N6,5832,0.02,387.95,0,0.06
SHREYANIND,EQ,169.5,-0.41,234.33,0.03,0.06
SHREEOSFM,SM,79,-0.13,121.69,0.07,0.06
NDLVENTURE,EQ,90.01,-0.46,303.08,0.06,0.06
PREMIUM,SM,37,2.21,70.66,0.15,0.06
ARHAM,ST,139.95,-0.07,236.8,0.04,0.06
MYMUDRA,SM,76,-3.68,86.58,0.07,0.05
NEELAM,SM,15.25,2.01,30.83,0.36,0.05
SGBFEB27,GB,18284,-0.57,379.19,0,0.05
KAUSHALYA,EQ,820,0.66,28.4,0.01,0.05
SMLT,EQ,73.5,2.18,100.62,0.07,0.05
SHUBHSHREE,SM,368,15,192.91,0.01,0.05
MOKSH,EQ,13.32,-0.52,117.55,0.41,0.05
MOTOUR,EQ,79.99,-0.46,7.8,0.07,0.05
ODIGMA,EQ,30.6,-0.81,95.65,0.18,0.05
LAMBODHARA,EQ,115,-2.41,119.34,0.05,0.05
EMMBI,EQ,93.22,-1.52,179.36,0.06,0.05
JYOTIGLOBL,SM,44.5,-3.26,88.2,0.12,0.05
SHREEKARNI,SM,450,-5.97,325.29,0.01,0.05
TOP15IETF,EQ,10.8,0.93,7.87,0.49,0.05
76NHAI31,NA,1148.8,-0.19,3073.34,0,0.05
BANKBETF,EQ,60.95,0.05,423.9,0.09,0.05
SURAJLTD,EQ,233.88,1.44,429.5,0.02,0.05
STUDIOLSD,SM,10.4,-5.45,53.97,0.5,0.05
SGBJUL27,GB,15299,-4.38,819.95,0,0.05
SBIETFQLTY,EQ,225.95,0.27,74.02,0.02,0.05
DELAPLEX,SM,108,-0.55,98.39,0.05,0.05
915APSBC33,N0,102950.18,0.07,565.2,0,0.05
MACOBSTECH,SM,212,-3.15,207.66,0.02,0.05
OMFURN,SM,47,-2.69,55.34,0.11,0.05
SIGIND,EQ,50.1,3.43,147.48,0.1,0.05
ARCHIDPLY,EQ,89,-3.23,176.8,0.06,0.05
SASTASUNDR,EQ,297,-0.9,944.77,0.02,0.05
930APMD27,N0,100995,0.49,1009.94,0,0.05
IDEALTECHO,SM,200,-6.1,100,0.03,0.05
CLASSICEIL,SM,52,1.76,93.42,0.1,0.05
YUDIZ,SM,35.8,3.17,36.94,0.14,0.05
TSC,SM,35.1,-4.49,49.31,0.14,0.05
ASCOM,ST,165,3.77,193.28,0.03,0.05
ISHANCH,EQ,61.01,-0.8,159.48,0.08,0.05
SHRIKANHA,SM,27.8,5.9,43.32,0.18,0.05
OSWALSEEDS,EQ,13.84,4.37,126.59,0.36,0.05
AKSHAR,EQ,0.52,1.96,40.95,9.51,0.05
GOYALSALT,SM,136.25,-0.18,243.89,0.04,0.05
GROWWMC150,EQ,218.03,-0.65,6.01,0.02,0.05
MODINATUR,EQ,329.55,0.09,438.51,0.01,0.05
RELCHEMQ,EQ,131.08,2.78,98.88,0.04,0.05
LAKSHYA,SM,119.5,0.25,120.5,0.04,0.05
GATECHDVR,EQ,0.5,6.38,9.48,9.56,0.05
GENUSPAPER,EQ,11.6,-2.77,298.27,0.41,0.05
PRAKASHSTL,BE,4.59,-2.34,80.33,1.03,0.05
ABSLBANETF,EQ,61.4,0.24,2898.05,0.08,0.05
NEWJAISA,SM,19.6,4.81,69.91,0.24,0.05
SECURKLOUD,BE,22.05,-1.65,73.67,0.21,0.05
ENERGYDEV,BE,17.35,-0.91,82.41,0.27,0.05
TPHQ,EQ,0.62,0,67.97,7.63,0.05
VCL,BE,1.95,1.04,35.83,2.45,0.05
SAKHTISUG,EQ,17.45,0.63,207.39,0.27,0.05
876HUDCO28,ND,1104,-0.09,899.76,0,0.05
EQUAL50,EQ,334.78,-0.03,119.1,0.01,0.05
RUBFILA,EQ,72.67,0.46,394.36,0.06,0.05
PRAENG,EQ,21.68,-0.69,151.62,0.21,0.05
SMALLADD,EQ,15.84,-0.69,6.47,0.29,0.05
SURYALAXMI,EQ,60,-0.1,112.83,0.08,0.05
SELECTIPO,EQ,43.61,0,18.24,0.1,0.05
KEYFINSERV,EQ,288,-0.72,160.32,0.02,0.05
INTERNET,EQ,12.88,-0.92,18.67,0.35,0.05
BABAFP,SM,26,-9.57,42.45,0.18,0.05
HIGREEN,SM,143,2.11,357.36,0.03,0.04
KOTARISUG,EQ,25.72,-0.39,213.19,0.17,0.04
BANG,EQ,45.35,-1.35,61.49,0.1,0.04
CPCAP,EQ,96.38,-1.43,175.34,0.05,0.04
TRU,EQ,7.3,-1.22,86.77,0.61,0.04
GOYALALUM,BE,7.49,-0.93,106.91,0.6,0.04
AVROIND,BE,125.8,-0.46,167.45,0.04,0.04
KANDARP,SM,144,-4,129.21,0.03,0.04
BEWLTD,SM,97.5,0.26,127.46,0.04,0.04
SRGHFL,EQ,266.5,-4.91,418.45,0.02,0.04
LOTUSEYE,EQ,122.4,1.44,254.55,0.04,0.04
DNAMEDIA,EQ,3.65,-2.93,42.96,1.2,0.04
769HUDCO31,N9,1105,0.3,674.1,0,0.04
AXISCETF,EQ,121.25,1.11,13.39,0.04,0.04
KNAGRI,EQ,171.09,-0.98,427.71,0.03,0.04
ZODIACLOTH,EQ,87,2.82,226.15,0.05,0.04
HITECHCORP,EQ,157,1.52,269.66,0.03,0.04
AAKASH,EQ,7.82,-1.14,79.18,0.55,0.04
PATINTLOG,EQ,12.17,0.08,84.69,0.35,0.04
KEN,SM,43.8,-1.57,107.6,0.1,0.04
79NHIT40,N2,310,-1.71,465,0.01,0.04
717GS2030,GS,105.08,-0.01,108232.4,0.04,0.04
AGSTRA,BZ,3.96,2.86,50.86,1.07,0.04
PIONEEREMB,EQ,27.9,-0.68,85.95,0.15,0.04
SHANTHALA,ST,28.05,-4.92,18.79,0.14,0.04
AIRAN,EQ,15,1.01,187.53,0.28,0.04
NIKITA,SM,113.5,0.89,279.98,0.04,0.04
MURUDCERA,EQ,34,0.5,205.85,0.12,0.04
BIKEWO,ST,20.1,0.5,26.22,0.2,0.04
74GS2062,GS,102.1,-0.31,159276,0.04,0.04
21STCENMGM,EQ,39.59,-1.54,41.57,0.1,0.04
GSLSU,BE,87.31,-1.9,370.04,0.04,0.04
GROWWN200,EQ,11.62,-0.43,15.01,0.35,0.04
CELEBRITY,EQ,9.2,2.91,54.9,0.43,0.04
735NHAI31,N9,1139.25,0,6815.65,0,0.04
91D120326,TB,99.49,0.28,17908.2,0.04,0.04
CHAMUNDA,SM,44.05,-2.76,48.48,0.09,0.04
CURRENT,SM,125,0.81,239.35,0.03,0.04
MAXPOSURE,SM,39.7,-1.73,90.28,0.1,0.04
BSL,EQ,139.5,0.27,143.58,0.03,0.04
MIDCAPBETA,EQ,222.75,0.92,12.63,0.02,0.04
IDFNIFTYET,EQ,281.29,0.06,4.02,0.01,0.04
ALCODIS,SM,79,3.88,80.97,0.05,0.04
DELTIC,SM,39,-2.01,59.63,0.1,0.04
PROV,SM,1200,0,414.41,0,0.04
INDIANCARD,EQ,230,-1.25,136.65,0.02,0.04
ROCKINGDCE,ST,220,-1.79,124.5,0.02,0.04
PALASHSECU,EQ,96.76,0.11,96.79,0.04,0.04
BRACEPORT,SM,78.85,-3.31,89.11,0.05,0.04
JETFREIGHT,BE,16.89,1.75,78.38,0.23,0.04
HYBRIDFIN,EQ,19.52,-8.14,57.46,0.19,0.04
SGBJUN27,GB,15343,-2.58,705.45,0,0.04
PASHUPATI,EQ,800,0.01,1262.72,0,0.04
ZENITHSTL,EQ,5.32,1.92,75.69,0.71,0.04
NEXT50ETF,EQ,70.98,2.57,7.53,0.05,0.04
MARINETRAN,ST,19.85,4.75,25.26,0.2,0.04
DIGIKORE,SM,63.3,-0.31,80.17,0.06,0.04
TEJASCARGO,SM,305.55,0,730.05,0.01,0.04
PARAMATRIX,SM,76.8,2.33,84.85,0.05,0.04
SOFTTECH,EQ,288,-1.86,398.65,0.01,0.04
LICNMID100,EQ,59.8,0.44,633.22,0.06,0.04
VARDHACRLC,EQ,37.5,-0.9,301.36,0.1,0.04
AMNPLST,EQ,173.89,0.51,956.74,0.02,0.04
GOKUL,EQ,35,-0.09,346.48,0.1,0.04
LATTEYS,EQ,21.41,1.42,123.1,0.17,0.04
GAYAHWS,EQ,2.28,4.59,54.64,1.54,0.04
SELMC,BE,29.52,-0.47,97.81,0.11,0.03
79NHIT47,N3,416,-0.12,624,0.01,0.03
VAISHALI,EQ,7.93,0.76,103.46,0.44,0.03
HOMESFY,SM,164.95,-2.97,53.22,0.02,0.03
TVVISION,BE,6.37,-1.7,24.68,0.55,0.03
NETF,EQ,276.79,-0.5,739.53,0.01,0.03
SATTVAENGG,SM,54.45,3.81,95.12,0.06,0.03
ISFT,EQ,85.8,-1.23,139.95,0.04,0.03
JHS,EQ,11.08,0.82,94.85,0.3,0.03
SALONA,EQ,262,1.33,137.87,0.01,0.03
KONSTELEC,SM,41.95,-2.21,63.34,0.08,0.03
AAKAAR,SM,51,0,72.28,0.06,0.03
HINDCOMPOS,EQ,408.1,-1.44,602.72,0.01,0.03
UCL,SM,52.55,-12.42,59.05,0.06,0.03
710GS2029,GS,104.45,0.04,157719.5,0.03,0.03
SRIVASAVI,SM,46.95,4.22,66.55,0.07,0.03
APEXECO,SM,134.1,-0.45,176.81,0.02,0.03
HDFCLOWVOL,EQ,21.05,0.24,37.1,0.15,0.03
MEGASTAR,BE,238.25,1.82,269.07,0.01,0.03
ANIKINDS,EQ,50.69,1.54,140.68,0.06,0.03
KSR,BE,27,0,49.62,0.12,0.03
KRIDHANINF,EQ,3.9,-2.99,36.96,0.8,0.03
COMPUSOFT,EQ,14.48,2.12,114.57,0.22,0.03
PROFX,SM,65,1.4,113.77,0.05,0.03
MBLINFRA,EQ,27.45,1.7,418.69,0.12,0.03
KSHITIJPOL,EQ,2.18,1.87,33.63,1.43,0.03
VINNY,EQ,1.22,0.83,56.76,2.52,0.03
812REC27,NI,1076,0,2324.51,0,0.03
TRUST,SM,44.5,3.49,106.02,0.07,0.03
MADHUCON,EQ,5.12,-0.39,37.78,0.61,0.03
SILGO-RE1,BE,8,-9.09,5.9,0.37,0.03
ASPIRE,SM,15.2,2.7,23.07,0.2,0.03
SAGARDEEP,EQ,25.64,3.14,43.74,0.12,0.03
ANSALAPI,BZ,3.03,1.68,47.69,1,0.03
SHAHALLOYS,EQ,63.01,-6.68,124.74,0.05,0.03
ORIENTALTL,EQ,7.45,0.54,54.76,0.41,0.03
