Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
SGBNV29VII,GB,15369,-2.61,4992.22,0,0.32
DENORA,EQ,586.8,-2.09,311.51,0.05,0.31
SUNLITE,ST,377.8,-0.57,411.05,0.08,0.31
PARTH,SM,239.05,8.14,326.73,0.13,0.31
WIPL,EQ,156,4.7,132.4,0.2,0.31
GRPLTD,EQ,1800,1.12,960,0.02,0.31
SHANTIGEAR,EQ,455.8,0.56,3496.71,0.07,0.31
GLOBAL,BE,84.4,2.95,429.61,0.37,0.31
SESHAPAPER,EQ,240,2.05,1513.64,0.13,0.3
DUGLOBAL,SM,29.5,4.42,212.02,1.02,0.3
MUNJALAU,EQ,74.7,-0.56,747,0.41,0.3
VRAJ,EQ,132.75,2.3,437.84,0.23,0.3
MUNJALSHOW,EQ,123.95,0.63,495.56,0.24,0.3
96IIFL28A,NF,998,0.25,327.37,0.03,0.3
NV20IETF,EQ,15.05,0.4,191.29,2,0.3
DURLAX,SM,49.95,1.01,83.06,0.6,0.3
ZODIAC,EQ,258,-4,390.19,0.11,0.3
RPPINFRA,EQ,88.65,1.06,439.58,0.34,0.3
AMBANIORGO,SM,119.9,4.99,91.83,0.25,0.3
EVIETF,EQ,30.54,-0.49,45.69,0.99,0.3
ANUHPHR,EQ,79.95,0.21,801.29,0.37,0.3
GOCLCORP,EQ,268,0.26,1328.54,0.11,0.3
SADHNANIQ,EQ,6.03,2.03,198.63,4.98,0.3
MANUFGBEES,EQ,154.99,0.3,9.35,0.19,0.3
INTENTECH,EQ,113.25,-1.21,267.55,0.26,0.3
AYMSYNTEX,EQ,175.76,0.09,1029.62,0.17,0.3
SREEL,EQ,208.15,-4.31,481.97,0.14,0.3
OSWALGREEN,EQ,28.41,-4.12,729.59,1.02,0.3
SSFL,SM,103.85,15.77,89,0.3,0.3
CTE,EQ,36,0.33,70.67,0.78,0.3
NURECA,EQ,280,-0.41,267.17,0.11,0.3
NIF100BEES,EQ,278.7,0.35,325.71,0.11,0.29
TTKHLTCARE,EQ,950.05,-0.83,1342.45,0.03,0.29
MUTHOOTCAP,EQ,239.5,4.14,393.92,0.13,0.29
CCCL,BE,18.75,-1.32,837.67,1.58,0.29
VINYLINDIA,EQ,215.7,-0.1,395.53,0.13,0.29
EQUAL50ADD,EQ,343.5,-0.52,1075.55,0.08,0.29
GTL,EQ,7.72,2.25,121.43,3.75,0.29
PVSL,EQ,117,-0.65,833.02,0.24,0.29
AONENIFTY,EQ,10.5,0,16.59,2.74,0.29
UNITEDTEA,EQ,490,2.89,244.83,0.06,0.29
KOKUYOCMLN,EQ,83.4,-1.33,836.53,0.34,0.29
MONEYBOXX,EQ,59.9,-2.87,391.8,0.47,0.28
KANPRPLA,EQ,200,-0.3,471.21,0.14,0.28
SMARTEN,SM,59.95,-0.17,113.91,0.49,0.28
SGBD29VIII,GB,15590,-2.13,3867.09,0,0.28
SOTL,EQ,354.5,0.21,2430.47,0.08,0.28
ARIES,EQ,316,-0.92,410.94,0.09,0.28
NEXT50BETA,EQ,75,1.26,2251.25,0.38,0.28
DCMSRIND,EQ,39.51,1.7,343.71,0.71,0.28
PRIZOR,SM,279,1.96,298.28,0.1,0.28
EEPL,SM,153.55,-0.26,198.99,0.18,0.28
SUPREMEINF,BZ,81.27,-1.25,208.85,0.34,0.28
NIFTYADD,EQ,268.74,0.1,219.61,0.1,0.27
VLSFINANCE,EQ,278,2.6,872.33,0.1,0.27
NECLIFE,BE,13.5,-1.53,262.25,2.04,0.27
IL&FSENGG,BZ,25.88,4.99,339.34,1.06,0.27
695GS2061,GS,94.7,0.13,139209,0.29,0.27
HDFCMOMENT,EQ,31.12,0.48,122.97,0.88,0.27
NINSYS,EQ,340,2.49,631.58,0.08,0.27
KIRLOSIND,EQ,3115.6,-0.47,3274.3,0.01,0.27
VISAKAIND,EQ,63.63,-2.85,549.79,0.42,0.27
GATECH,EQ,0.52,0,57.34,51.45,0.27
VERTIS,IV,107,0,16156.83,0.25,0.27
PSUBANKADD,EQ,90,0.11,235.82,0.3,0.27
INDOWIND,EQ,10.75,-1.83,173.08,2.47,0.27
TANKUP,ST,541.5,4.99,286.72,0.05,0.27
DHARMAJ,EQ,241.85,0.6,817.39,0.11,0.26
BFUTILITIE,BZ,535,0.37,2015.22,0.05,0.26
SADBHIN,EQ,3.84,9.71,135.25,6.92,0.26
GUFICBIO,EQ,308.7,0.19,3095.72,0.09,0.26
PRIMECAB,SM,86.75,0.87,158.96,0.3,0.26
GREENLEAF,SM,138,-0.33,81.82,0.19,0.26
AVTNPL,EQ,68.17,-0.18,1038.12,0.38,0.26
CONSUMER,EQ,11.41,0,45.15,2.3,0.26
RUCHIRA,EQ,123.01,-0.23,367.12,0.21,0.26
UNIVPHOTO,EQ,200,3.3,218.93,0.13,0.26
SIKKO,EQ,4.28,0.71,186.95,6.2,0.26
CYBERTECH,EQ,131.7,-1.68,409.99,0.2,0.26
MENONBE,EQ,116,-0.99,650.06,0.22,0.26
690GS2065,GS,95.01,-0.09,152966.1,0.27,0.26
KKJEWELS,SM,91.2,1.9,95.62,0.28,0.26
SUPERHOUSE,EQ,164.3,-1.44,181.14,0.16,0.26
MOLDTECH,EQ,133.8,0,385.41,0.19,0.26
INNOVANA,EQ,370,4.77,764.42,0.07,0.26
UNIVASTU,EQ,61,-3.42,219.52,0.42,0.26
DEVIT,EQ,30.52,-1.55,171.94,0.82,0.26
GTPL,EQ,77,-1.14,865.97,0.33,0.26
MANORG,EQ,435.5,3.28,372.98,0.06,0.25
OSWALAGRO,EQ,50.65,-3.78,679.9,0.49,0.25
HDFCNIFBAN,EQ,61.71,0.36,5840.55,0.41,0.25
CGRAPHICS,SM,157,-0.25,381.29,0.16,0.25
UCAL,EQ,114.92,3.81,254.13,0.22,0.25
PONNIERODE,EQ,262,1.43,225.28,0.1,0.25
OWAIS,SM,240,1.48,436.38,0.1,0.25
SGBOC28VII,GB,15328,-2.19,2850.27,0,0.25
RHL,EQ,181.3,-1.73,313.5,0.14,0.25
FOCUS,EQ,70,-3.17,472.11,0.36,0.25
DVL,EQ,256.5,-0.29,898.38,0.1,0.25
DIVOPPBEES,EQ,83.71,0.26,72.1,0.3,0.25
JAYAGROGN,EQ,175.53,-3.01,526.59,0.14,0.25
KOHINOOR,EQ,25.79,-0.31,95.61,0.97,0.25
COASTCORP,BE,50.99,-3.63,341.52,0.49,0.25
ACCENTMIC,SM,330,2.26,791.64,0.07,0.25
KDL,ST,142,-3.89,170.74,0.17,0.25
MARALOVER,EQ,44.79,4.38,185.91,0.55,0.25
667GS2035,GS,101.99,2.09,125381.41,0.24,0.25
SHYAMDHANI,SM,81,-1.82,167.31,0.3,0.25
IITL,EQ,133.1,-2.61,300.11,0.18,0.24
BVCL,EQ,49.68,-2.55,110.09,0.49,0.24
UGARSUGAR,EQ,37.4,0.05,420.75,0.65,0.24
DENEERS,SM,144,1.34,123.93,0.17,0.24
115VCCL28,N0,100409.59,0.09,20.08,0,0.24
